OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,2179,2179,2179,2179,2179,2179,2179,2179,2179,2179
?,2137,2137,2137,2137,2137,2137,2137,2137,2137,2137
?,1615,1615,1615,1615,1615,1615,1615,1615,1615,1615
?,2238,2238,2238,2238,2238,2238,2238,2238,2238,2238
?,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635
?,824,824,824,824,824,824,824,824,824,824
?,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
?,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313
?,555,555,555,555,555,555,555,555,555,555
?,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
?,812,812,812,812,812,812,812,812,812,812
?,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
?,2566,2566,2566,2566,2566,2566,2566,2566,2566,2566
?,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
?,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
?,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
?,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
?,338,338,338,338,338,338,338,338,338,338
?,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
?,98,98,98,98,98,98,98,98,98,98
?,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
?,428,428,428,428,428,428,428,428,428,428
?,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317
?,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299
?,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983
?,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498
?,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593
?,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253
?,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039
?,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
?,2802,2802,2802,2802,2802,2802,2802,2802,2802,2802
?,2863,2863,2863,2863,2863,2863,2863,2863,2863,2863
?,226,226,226,226,226,226,226,226,226,226
?,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161
?,171,171,171,171,171,171,171,171,171,171
?,771,771,771,771,771,771,771,771,771,771
?,366,366,366,366,366,366,366,366,366,366
?,1258,1258,1258,1258,1258,1258,1258,1258,1258,1258
?,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407
?,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
?,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224
?,711,711,711,711,711,711,711,711,711,711
?,2626,2626,2626,2626,2626,2626,2626,2626,2626,2626
?,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
?,197,197,197,197,197,197,197,197,197,197
?,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189
?,115,115,115,115,115,115,115,115,115,115
?,194,194,194,194,194,194,194,194,194,194
?,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241
?,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
?,772,772,772,772,772,772,772,772,772,772
?,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441
?,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203
?,215,215,215,215,215,215,215,215,215,215
?,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803
?,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777
?,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083
?,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147
?,731,731,731,731,731,731,731,731,731,731
?,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084
?,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
?,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
?,2864,2864,2864,2864,2864,2864,2864,2864,2864,2864
?,184,184,184,184,184,184,184,184,184,184
?,879,879,879,879,879,879,879,879,879,879
?,405,405,405,405,405,405,405,405,405,405
?,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873
?,761,761,761,761,761,761,761,761,761,761
?,908,908,908,908,908,908,908,908,908,908
?,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312
?,299,299,299,299,299,299,299,299,299,299
?,834,834,834,834,834,834,834,834,834,834
?,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029
?,847,847,847,847,847,847,847,847,847,847
?,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
?,2624,2624,2624,2624,2624,2624,2624,2624,2624,2624
?,2511,2511,2511,2511,2511,2511,2511,2511,2511,2511
?,64,64,64,64,64,64,64,64,64,64
?,186,186,186,186,186,186,186,186,186,186
?,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563
?,844,844,844,844,844,844,844,844,844,844
?,2824,2824,2824,2824,2824,2824,2824,2824,2824,2824
?,477,477,477,477,477,477,477,477,477,477
?,1190,1190,1190,1190,1190,1190,1190,1190,1190,1190
?,20,20,20,20,20,20,20,20,20,20
?,985,985,985,985,985,985,985,985,985,985
?,2702,2702,2702,2702,2702,2702,2702,2702,2702,2702
?,1355,1355,1355,1355,1355,1355,1355,1355,1355,1355
?,726,726,726,726,726,726,726,726,726,726
?,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598
?,936,936,936,936,936,936,936,936,936,936
?,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
?,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647
?,184,184,184,184,184,184,184,184,184,184
?,639,639,639,639,639,639,639,639,639,639
?,581,581,581,581,581,581,581,581,581,581
?,2453,2453,2453,2453,2453,2453,2453,2453,2453,2453
?,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009
?,2547,2547,2547,2547,2547,2547,2547,2547,2547,2547
?,2739,2739,2739,2739,2739,2739,2739,2739,2739,2739
?,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058
?,1732,1732,1732,1732,1732,1732,1732,1732,1732,1732
?,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787
?,2337,2337,2337,2337,2337,2337,2337,2337,2337,2337
?,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565
?,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269
?,840,840,840,840,840,840,840,840,840,840
?,2677,2677,2677,2677,2677,2677,2677,2677,2677,2677
?,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
?,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677
?,2828,2828,2828,2828,2828,2828,2828,2828,2828,2828
?,42,42,42,42,42,42,42,42,42,42
?,1704,1704,1704,1704,1704,1704,1704,1704,1704,1704
?,1695,1695,1695,1695,1695,1695,1695,1695,1695,1695
?,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
?,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140
?,777,777,777,777,777,777,777,777,777,777
?,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
?,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039
?,2459,2459,2459,2459,2459,2459,2459,2459,2459,2459
?,43,43,43,43,43,43,43,43,43,43
?,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567
?,2837,2837,2837,2837,2837,2837,2837,2837,2837,2837
?,1620,1620,1620,1620,1620,1620,1620,1620,1620,1620
?,172,172,172,172,172,172,172,172,172,172
?,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851
?,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840
?,528,528,528,528,528,528,528,528,528,528
?,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716
?,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
?,914,914,914,914,914,914,914,914,914,914
?,289,289,289,289,289,289,289,289,289,289
?,2612,2612,2612,2612,2612,2612,2612,2612,2612,2612
?,469,469,469,469,469,469,469,469,469,469
?,473,473,473,473,473,473,473,473,473,473
?,651,651,651,651,651,651,651,651,651,651
?,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002
?,273,273,273,273,273,273,273,273,273,273
?,752,752,752,752,752,752,752,752,752,752
?,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
?,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341
?,686,686,686,686,686,686,686,686,686,686
?,1051,1051,1051,1051,1051,1051,1051,1051,1051,1051
?,2789,2789,2789,2789,2789,2789,2789,2789,2789,2789
?,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847
?,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632
?,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167
?,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
?,1174,1174,1174,1174,1174,1174,1174,1174,1174,1174
?,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167
?,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336
?,1072,1072,1072,1072,1072,1072,1072,1072,1072,1072
?,445,445,445,445,445,445,445,445,445,445
?,490,490,490,490,490,490,490,490,490,490
?,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
?,828,828,828,828,828,828,828,828,828,828
?,355,355,355,355,355,355,355,355,355,355
?,2273,2273,2273,2273,2273,2273,2273,2273,2273,2273
?,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
?,823,823,823,823,823,823,823,823,823,823
?,521,521,521,521,521,521,521,521,521,521
?,2123,2123,2123,2123,2123,2123,2123,2123,2123,2123
?,147,147,147,147,147,147,147,147,147,147
?,1921,1921,1921,1921,1921,1921,1921,1921,1921,1921
?,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962
?,448,448,448,448,448,448,448,448,448,448
?,457,457,457,457,457,457,457,457,457,457
?,937,937,937,937,937,937,937,937,937,937
?,156,156,156,156,156,156,156,156,156,156
?,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590
?,756,756,756,756,756,756,756,756,756,756
?,343,343,343,343,343,343,343,343,343,343
?,2842,2842,2842,2842,2842,2842,2842,2842,2842,2842
?,277,277,277,277,277,277,277,277,277,277
?,991,991,991,991,991,991,991,991,991,991
?,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
?,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521
?,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
?,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795
?,585,585,585,585,585,585,585,585,585,585
?,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
?,2446,2446,2446,2446,2446,2446,2446,2446,2446,2446
?,169,169,169,169,169,169,169,169,169,169
?,2716,2716,2716,2716,2716,2716,2716,2716,2716,2716
?,2063,2063,2063,2063,2063,2063,2063,2063,2063,2063
?,775,775,775,775,775,775,775,775,775,775
?,862,862,862,862,862,862,862,862,862,862
?,1303,1303,1303,1303,1303,1303,1303,1303,1303,1303
?,180,180,180,180,180,180,180,180,180,180
?,2330,2330,2330,2330,2330,2330,2330,2330,2330,2330
?,59,59,59,59,59,59,59,59,59,59
?,626,626,626,626,626,626,626,626,626,626
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028
?,719,719,719,719,719,719,719,719,719,719
?,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435
?,1893,1893,1893,1893,1893,1893,1893,1893,1893,1893
?,822,822,822,822,822,822,822,822,822,822
?,2639,2639,2639,2639,2639,2639,2639,2639,2639,2639
?,232,232,232,232,232,232,232,232,232,232
?,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
?,1557,1557,1557,1557,1557,1557,1557,1557,1557,1557
?,628,628,628,628,628,628,628,628,628,628
?,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196
?,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071
?,261,261,261,261,261,261,261,261,261,261
?,923,923,923,923,923,923,923,923,923,923
?,754,754,754,754,754,754,754,754,754,754
?,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
?,797,797,797,797,797,797,797,797,797,797
?,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376
?,2696,2696,2696,2696,2696,2696,2696,2696,2696,2696
?,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798
?,104,104,104,104,104,104,104,104,104,104
?,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805
?,285,285,285,285,285,285,285,285,285,285
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
?,2165,2165,2165,2165,2165,2165,2165,2165,2165,2165
?,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179
?,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281
?,660,660,660,660,660,660,660,660,660,660
?,588,588,588,588,588,588,588,588,588,588
?,2242,2242,2242,2242,2242,2242,2242,2242,2242,2242
?,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
?,233,233,233,233,233,233,233,233,233,233
?,457,457,457,457,457,457,457,457,457,457
?,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805
?,267,267,267,267,267,267,267,267,267,267
?,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
?,2122,2122,2122,2122,2122,2122,2122,2122,2122,2122
?,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189
?,72,72,72,72,72,72,72,72,72,72
?,2534,2534,2534,2534,2534,2534,2534,2534,2534,2534
?,696,696,696,696,696,696,696,696,696,696
?,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318
?,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518
?,158,158,158,158,158,158,158,158,158,158
?,588,588,588,588,588,588,588,588,588,588
?,426,426,426,426,426,426,426,426,426,426
?,2803,2803,2803,2803,2803,2803,2803,2803,2803,2803
?,958,958,958,958,958,958,958,958,958,958
?,25,25,25,25,25,25,25,25,25,25
?,1562,1562,1562,1562,1562,1562,1562,1562,1562,1562
?,15,15,15,15,15,15,15,15,15,15
?,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305
?,240,240,240,240,240,240,240,240,240,240
?,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588
?,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323
?,491,491,491,491,491,491,491,491,491,491
?,920,920,920,920,920,920,920,920,920,920
?,2574,2574,2574,2574,2574,2574,2574,2574,2574,2574
?,145,145,145,145,145,145,145,145,145,145
?,2309,2309,2309,2309,2309,2309,2309,2309,2309,2309
?,2235,2235,2235,2235,2235,2235,2235,2235,2235,2235
?,303,303,303,303,303,303,303,303,303,303
?,82,82,82,82,82,82,82,82,82,82
?,2658,2658,2658,2658,2658,2658,2658,2658,2658,2658
?,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
?,2341,2341,2341,2341,2341,2341,2341,2341,2341,2341
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
?,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
?,2809,2809,2809,2809,2809,2809,2809,2809,2809,2809
?,2524,2524,2524,2524,2524,2524,2524,2524,2524,2524
?,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
?,1842,1842,1842,1842,1842,1842,1842,1842,1842,1842
?,974,974,974,974,974,974,974,974,974,974
?,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798
?,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
?,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510
?,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025
?,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414
?,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608
?,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
?,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963
?,628,628,628,628,628,628,628,628,628,628
?,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
?,2198,2198,2198,2198,2198,2198,2198,2198,2198,2198
?,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
?,917,917,917,917,917,917,917,917,917,917
?,592,592,592,592,592,592,592,592,592,592
?,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
?,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610
?,715,715,715,715,715,715,715,715,715,715
?,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
?,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054
?,657,657,657,657,657,657,657,657,657,657
?,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508
?,86,86,86,86,86,86,86,86,86,86
?,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769
?,1229,1229,1229,1229,1229,1229,1229,1229,1229,1229
?,590,590,590,590,590,590,590,590,590,590
?,175,175,175,175,175,175,175,175,175,175
?,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
?,1681,1681,1681,1681,1681,1681,1681,1681,1681,1681
?,2218,2218,2218,2218,2218,2218,2218,2218,2218,2218
?,930,930,930,930,930,930,930,930,930,930
?,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648
?,513,513,513,513,513,513,513,513,513,513
?,2567,2567,2567,2567,2567,2567,2567,2567,2567,2567
?,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
?,853,853,853,853,853,853,853,853,853,853
?,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663
?,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
?,1712,1712,1712,1712,1712,1712,1712,1712,1712,1712
?,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
?,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853
?,1819,1819,1819,1819,1819,1819,1819,1819,1819,1819
?,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
?,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899
?,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
?,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384
?,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336
?,2726,2726,2726,2726,2726,2726,2726,2726,2726,2726
?,1634,1634,1634,1634,1634,1634,1634,1634,1634,1634
?,546,546,546,546,546,546,546,546,546,546
?,2171,2171,2171,2171,2171,2171,2171,2171,2171,2171
?,844,844,844,844,844,844,844,844,844,844
?,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
?,889,889,889,889,889,889,889,889,889,889
?,783,783,783,783,783,783,783,783,783,783
?,2329,2329,2329,2329,2329,2329,2329,2329,2329,2329
?,798,798,798,798,798,798,798,798,798,798
?,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
-,389,389,389,389,389,389,389,389,389,389
-,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105
-,709,709,709,709,709,709,709,709,709,709
-,546,546,546,546,546,546,546,546,546,546
-,574,574,574,574,574,574,574,574,574,574
-,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264
-,720,720,720,720,720,720,720,720,720,720
-,1285,1285,1285,1285,1285,1285,1285,1285,1285,1285
-,1351,1351,1351,1351,1351,1351,1351,1351,1351,1351
-,851,851,851,851,851,851,851,851,851,851
-,1248,1248,1248,1248,1248,1248,1248,1248,1248,1248
-,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423
-,1301,1301,1301,1301,1301,1301,1301,1301,1301,1301
-,913,913,913,913,913,913,913,913,913,913
-,950,950,950,950,950,950,950,950,950,950
-,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152
-,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112
-,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
-,111,111,111,111,111,111,111,111,111,111
-,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357
-,636,636,636,636,636,636,636,636,636,636
-,819,819,819,819,819,819,819,819,819,819
-,766,766,766,766,766,766,766,766,766,766
-,238,238,238,238,238,238,238,238,238,238
-,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028
-,903,903,903,903,903,903,903,903,903,903
-,456,456,456,456,456,456,456,456,456,456
-,359,359,359,359,359,359,359,359,359,359
-,800,800,800,800,800,800,800,800,800,800
-,395,395,395,395,395,395,395,395,395,395
-,609,609,609,609,609,609,609,609,609,609
-,972,972,972,972,972,972,972,972,972,972
-,146,146,146,146,146,146,146,146,146,146
-,635,635,635,635,635,635,635,635,635,635
-,341,341,341,341,341,341,341,341,341,341
-,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
-,796,796,796,796,796,796,796,796,796,796
-,760,760,760,760,760,760,760,760,760,760
-,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
-,431,431,431,431,431,431,431,431,431,431
+,1116,153,756,909,393,871,629,768,389,23
+,1385,783,278,210,902,689,503,447,808,896
+,209,350,329,21,511,519,630,397,858,452
+,285,210,381,147,720,79,615,857,715,699
+,457,172,806,413,212,223,321,361,414,280
+,501,732,297,920,236,388,614,898,480,983
+,563,702,957,576,249,660,714,66,463,730
+,51,22,398,585,353,368,390,20,502,446
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,367,367,367,367,367,367,367,367,367,367
?,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
?,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045
?,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
?,937,937,937,937,937,937,937,937,937,937
?,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
?,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502
?,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065
?,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
?,648,648,648,648,648,648,648,648,648,648
?,691,691,691,691,691,691,691,691,691,691
?,898,898,898,898,898,898,898,898,898,898
?,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,2119,2119,2119,2119,2119,2119,2119,2119,2119,2119
?,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454
?,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175
?,802,802,802,802,802,802,802,802,802,802
?,149,149,149,149,149,149,149,149,149,149
?,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563
?,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
?,197,197,197,197,197,197,197,197,197,197
?,937,937,937,937,937,937,937,937,937,937
?,369,369,369,369,369,369,369,369,369,369
?,651,651,651,651,651,651,651,651,651,651
?,379,379,379,379,379,379,379,379,379,379
?,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,206,206,206,206,206,206,206,206,206,206
?,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026
?,325,325,325,325,325,325,325,325,325,325
?,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
?,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046
?,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856
?,611,611,611,611,611,611,611,611,611,611
?,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201
?,581,581,581,581,581,581,581,581,581,581
?,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,762,762,762,762,762,762,762,762,762,762
?,939,939,939,939,939,939,939,939,939,939
?,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678
?,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
?,683,683,683,683,683,683,683,683,683,683
?,2133,2133,2133,2133,2133,2133,2133,2133,2133,2133
?,274,274,274,274,274,274,274,274,274,274
?,950,950,950,950,950,950,950,950,950,950
?,378,378,378,378,378,378,378,378,378,378
?,2544,2544,2544,2544,2544,2544,2544,2544,2544,2544
?,214,214,214,214,214,214,214,214,214,214
?,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346
?,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682
?,721,721,721,721,721,721,721,721,721,721
?,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181
?,2245,2245,2245,2245,2245,2245,2245,2245,2245,2245
?,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927
?,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
?,688,688,688,688,688,688,688,688,688,688
?,968,968,968,968,968,968,968,968,968,968
?,71,71,71,71,71,71,71,71,71,71
?,801,801,801,801,801,801,801,801,801,801
?,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469
?,316,316,316,316,316,316,316,316,316,316
?,276,276,276,276,276,276,276,276,276,276
?,416,416,416,416,416,416,416,416,416,416
?,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
?,733,733,733,733,733,733,733,733,733,733
?,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188
?,509,509,509,509,509,509,509,509,509,509
?,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
?,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267
?,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
?,733,733,733,733,733,733,733,733,733,733
?,626,626,626,626,626,626,626,626,626,626
?,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186
?,766,766,766,766,766,766,766,766,766,766
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,36,36,36,36,36,36,36,36,36,36
?,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334
?,704,704,704,704,704,704,704,704,704,704
?,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116
?,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103
?,85,85,85,85,85,85,85,85,85,85
?,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052
?,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
?,233,233,233,233,233,233,233,233,233,233
?,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
?,553,553,553,553,553,553,553,553,553,553
?,685,685,685,685,685,685,685,685,685,685
?,199,199,199,199,199,199,199,199,199,199
?,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922
?,639,639,639,639,639,639,639,639,639,639
?,542,542,542,542,542,542,542,542,542,542
?,991,991,991,991,991,991,991,991,991,991
?,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
?,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
?,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351
?,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144
?,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
?,718,718,718,718,718,718,718,718,718,718
?,451,451,451,451,451,451,451,451,451,451
?,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017
?,664,664,664,664,664,664,664,664,664,664
?,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622
?,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483
?,174,174,174,174,174,174,174,174,174,174
?,275,275,275,275,275,275,275,275,275,275
?,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
?,557,557,557,557,557,557,557,557,557,557
?,3,3,3,3,3,3,3,3,3,3
?,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
?,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888
?,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776
?,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
?,2255,2255,2255,2255,2255,2255,2255,2255,2255,2255
?,2218,2218,2218,2218,2218,2218,2218,2218,2218,2218
?,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
?,2151,2151,2151,2151,2151,2151,2151,2151,2151,2151
?,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912
?,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652
?,2129,2129,2129,2129,2129,2129,2129,2129,2129,2129
?,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
